index,doppler_offset,timestamp,measured_freq
169,2112.7861328125,2018-01-13T16:12:18.762011Z,145882112.7861328125
170,2093.2956542969,2018-01-13T16:12:18.862011Z,145882093.2956542969
171,2106.0800781250,2018-01-13T16:12:18.962011Z,145882106.0800781250
172,2093.8781738281,2018-01-13T16:12:19.062011Z,145882093.8781738281
173,2073.2468261719,2018-01-13T16:12:19.162011Z,145882073.2468261719
174,2061.3830566406,2018-01-13T16:12:19.262011Z,145882061.3830566406
175,2071.8559570312,2018-01-13T16:12:19.362011Z,145882071.8559570312
176,2062.1950683594,2018-01-13T16:12:19.462011Z,145882062.1950683594
177,2063.7089843750,2018-01-13T16:12:19.562011Z,145882063.7089843750
178,2057.1357421875,2018-01-13T16:12:19.662011Z,145882057.1357421875
179,2078.8933105469,2018-01-13T16:12:19.762011Z,145882078.8933105469
180,2065.0437011719,2018-01-13T16:12:19.862011Z,145882065.0437011719
181,2067.9104003906,2018-01-13T16:12:19.962011Z,145882067.9104003906
182,2067.5317382812,2018-01-13T16:12:20.062011Z,145882067.5317382812
183,2064.9174804688,2018-01-13T16:12:20.162011Z,145882064.9174804688
184,2052.3107910156,2018-01-13T16:12:20.262011Z,145882052.3107910156
185,2059.0615234375,2018-01-13T16:12:20.362011Z,145882059.0615234375
186,2070.8586425781,2018-01-13T16:12:20.462011Z,145882070.8586425781
187,2060.7685546875,2018-01-13T16:12:20.562011Z,145882060.7685546875
188,2039.1994628906,2018-01-13T16:12:20.662011Z,145882039.1994628906
189,2047.2031250000,2018-01-13T16:12:20.762011Z,145882047.2031250000
190,2059.3769531250,2018-01-13T16:12:20.862011Z,145882059.3769531250
191,2054.9299316406,2018-01-13T16:12:20.962011Z,145882054.9299316406
192,2052.6899414062,2018-01-13T16:12:21.062011Z,145882052.6899414062
193,2053.8784179688,2018-01-13T16:12:21.162011Z,145882053.8784179688
194,2043.9971923828,2018-01-13T16:12:21.262011Z,145882043.9971923828
195,2024.0146484375,2018-01-13T16:12:21.362011Z,145882024.0146484375
196,2041.1293945312,2018-01-13T16:12:21.462011Z,145882041.1293945312
197,2056.8767089844,2018-01-13T16:12:21.562011Z,145882056.8767089844
198,2046.2900390625,2018-01-13T16:12:21.662011Z,145882046.2900390625
199,2060.0458984375,2018-01-13T16:12:21.762011Z,145882060.0458984375
200,2059.1833496094,2018-01-13T16:12:21.862011Z,145882059.1833496094
201,2056.6533203125,2018-01-13T16:12:21.962011Z,145882056.6533203125
202,2044.1446533203,2018-01-13T16:12:22.062011Z,145882044.1446533203
203,2039.1655273438,2018-01-13T16:12:22.162011Z,145882039.1655273438
204,2050.9743652344,2018-01-13T16:12:22.262011Z,145882050.9743652344
205,2036.9780273438,2018-01-13T16:12:22.362011Z,145882036.9780273438
206,2049.6428222656,2018-01-13T16:12:22.462011Z,145882049.6428222656
207,2063.7175292969,2018-01-13T16:12:22.562011Z,145882063.7175292969
208,2057.1435546875,2018-01-13T16:12:22.662011Z,145882057.1435546875
209,2049.9645996094,2018-01-13T16:12:22.762011Z,145882049.9645996094
210,2067.9157714844,2018-01-13T16:12:22.862011Z,145882067.9157714844
211,2045.0783691406,2018-01-13T16:12:22.962011Z,145882045.0783691406
212,2046.2792968750,2018-01-13T16:12:23.062011Z,145882046.2792968750
213,2060.2475585938,2018-01-13T16:12:23.162011Z,145882060.2475585938
214,2068.1088867188,2018-01-13T16:12:23.262011Z,145882068.1088867188
215,2051.6938476562,2018-01-13T16:12:23.362011Z,145882051.6938476562
216,2033.6888427734,2018-01-13T16:12:23.462011Z,145882033.6888427734
217,2053.6096191406,2018-01-13T16:12:23.562011Z,145882053.6096191406
218,2060.7236328125,2018-01-13T16:12:23.662011Z,145882060.7236328125
219,2065.4064941406,2018-01-13T16:12:23.762011Z,145882065.4064941406
220,2059.9694824219,2018-01-13T16:12:23.862011Z,145882059.9694824219
221,2052.4809570312,2018-01-13T16:12:23.962011Z,145882052.4809570312
222,2032.4949951172,2018-01-13T16:12:24.062011Z,145882032.4949951172
223,2019.9459228516,2018-01-13T16:12:24.162011Z,145882019.9459228516
224,2032.9256591797,2018-01-13T16:12:24.262011Z,145882032.9256591797
225,2033.4698486328,2018-01-13T16:12:24.362011Z,145882033.4698486328
226,2019.9812011719,2018-01-13T16:12:24.462011Z,145882019.9812011719
227,2031.3983154297,2018-01-13T16:12:24.562011Z,145882031.3983154297
228,2029.1643066406,2018-01-13T16:12:24.662011Z,145882029.1643066406
229,2032.9989013672,2018-01-13T16:12:24.762011Z,145882032.9989013672
230,2027.8874511719,2018-01-13T16:12:24.862011Z,145882027.8874511719
231,2023.5795898438,2018-01-13T16:12:24.962011Z,145882023.5795898438
